Iteration,bra-left,bra-right,Element,Operator
57,7,3,-0.018740796,7
57,7,3,-0.043493132,8
57,7,3,0.068397044,9
57,7,3,-0.018720045,10
57,9,3,-3.594e-06,0
57,9,3,-0.005121193,1
57,9,3,0.002670806,2
57,9,3,-0.000189068,3
57,9,3,-0.003821203,4
57,9,3,-0.000157519,5
57,9,3,0.003416141,6
57,9,3,0.00318793,7
57,9,3,-0.027667431,8
57,9,3,0.02893198,9
57,9,3,-0.035068234,10
57,11,3,-3.09e-06,0
57,11,3,0.005499844,1
57,11,3,-0.000882771,2
57,11,3,-0.003169745,3
57,11,3,0.005119958,4
57,11,3,-0.000413597,5
57,11,3,0.002723818,6
57,11,3,-0.008888272,7
57,11,3,-0.013533195,8
57,11,3,0.018542283,9
57,11,3,0.029561498,10
57,13,3,8.538e-06,0
57,13,3,-0.000209925,1
57,13,3,-0.000902193,2
57,13,3,0.002102878,3
57,13,3,-0.001665164,4
57,13,3,-0.001338551,5
57,13,3,-0.005250648,6
57,13,3,0.007294252,7
57,13,3,-0.014555265,8
57,13,3,0.033221845,9
57,13,3,-0.014696724,10
57,15,3,-1.3192e-05,0
57,15,3,-0.008488795,1
57,15,3,0.000839185,2
57,15,3,0.00679661,3
57,15,3,-0.006266848,4
57,15,3,-0.006862026,5
57,15,3,-0.004702835,6
57,15,3,0.018664452,7
57,15,3,0.106134888,8
57,15,3,-0.245888514,9
57,15,3,0.201140455,10
57,17,3,3.45e-06,0
57,17,3,-0.005153453,1
57,17,3,0.004931001,2
57,17,3,0.013830581,3
57,17,3,-0.010449476,4
57,17,3,0.000931169,5
57,17,3,-0.029591327,6
57,17,3,0.025555815,7
57,17,3,0.203776149,8
57,17,3,0.064784425,9
57,17,3,0.235030798,10
57,19,3,-1.245e-06,0
57,19,3,0.005165327,1
57,19,3,0.004117973,2
57,19,3,-0.000139693,3
57,19,3,0.005718546,4
57,19,3,0.007408602,5
57,19,3,-0.008629251,6
57,19,3,-0.01365125,7
57,19,3,1.580537242,8
57,19,3,0.02937801,9
57,19,3,0.107513351,10
57,21,3,-4.56e-07,0
57,21,3,-0.001223781,1
57,21,3,0.000510831,2
57,21,3,-0.005993375,3
57,21,3,0.005338098,4
57,21,3,-0.015438428,5
57,21,3,0.018374924,6
57,21,3,-0.001616869,7
57,21,3,0.248043932,8
57,21,3,-0.118055176,9
57,21,3,-0.115511318,10
57,23,3,-1.809e-05,0
57,23,3,0.004867858,1
57,23,3,-0.002962817,2
57,23,3,0.006819566,3
57,23,3,0.003537794,4
57,23,3,-0.001750021,5
57,23,3,-0.013019491,6
57,23,3,0.002453841,7
57,23,3,-0.156653673,8
57,23,3,0.094272636,9
57,23,3,-0.004091202,10
57,25,3,-1.515e-06,0
57,25,3,0.006482417,1
57,25,3,0.013071572,2
57,25,3,-0.001936168,3
57,25,3,0.008533613,4
57,25,3,-0.000409459,5
57,25,3,-0.001845237,6
57,25,3,-0.023892111,7
57,25,3,0.097766342,8
57,25,3,0.001880627,9
57,25,3,0.432538935,10
57,27,3,-2.7061e-05,0
57,27,3,-0.049272723,1
57,27,3,0.000849784,2
57,27,3,-0.003119866,3
57,27,3,0.004202934,4
57,27,3,0.002297074,5
57,27,3,0.052340537,6
57,27,3,-0.007359181,7
57,27,3,-0.103650544,8
57,27,3,-0.043695219,9
57,27,3,-0.719206691,10
57,29,3,-2.3181e-05,0
57,29,3,0.003586669,1
57,29,3,0.006301933,2
57,29,3,0.005108981,3
57,29,3,0.013610966,4
57,29,3,-0.006370524,5
57,29,3,-0.013064134,6
57,29,3,-0.009244315,7
57,29,3,-0.069654545,8
57,29,3,-0.077617995,9
57,29,3,0.064140536,10
57,31,3,-2.192e-06,0
57,31,3,-0.004563925,1
57,31,3,-0.018043442,2
57,31,3,-0.000790864,3
57,31,3,-0.009640946,4
57,31,3,-0.007334894,5
57,31,3,0.017773007,6
57,31,3,0.022613923,7
57,31,3,0.087493382,8
57,31,3,0.009216335,9
57,31,3,0.084997192,10
57,33,3,-6.634e-06,0
57,33,3,-0.002511416,1
57,33,3,0.001668186,2
57,33,3,0.007633899,3
57,33,3,-0.006321481,4
57,33,3,-0.013328868,5
57,33,3,-0.002669569,6
57,33,3,0.015488129,7
57,33,3,-0.061678364,8
57,33,3,0.026622477,9
57,33,3,0.024678853,10
57,35,3,-3.8178e-05,0
57,35,3,0.024918047,1
57,35,3,0.003143184,2
57,35,3,-0.009064199,3
57,35,3,0.016696202,4
57,35,3,0.019694587,5
57,35,3,-0.016175391,6
57,35,3,-0.039365946,7
57,35,3,0.042310373,8
57,35,3,-0.046323545,9
57,35,3,-0.259488817,10
57,37,3,-8.65e-07,0
57,37,3,-0.04243243,1
57,37,3,-0.014031936,2
57,37,3,-0.009703332,3
57,37,3,-0.023505091,4
57,37,3,-0.025884755,5
57,37,3,0.064069334,6
57,37,3,0.051424262,7
57,37,3,0.077423079,8
57,37,3,-0.113294937,9
57,37,3,0.132421851,10
57,1,5,-4.514e-06,0
57,1,5,-0.039424806,1
