Iteration,bra-left,bra-right,Element,Operator
46,13,7,-0.013174144,2
46,13,7,-0.004602709,3
46,13,7,-0.004652676,4
46,13,7,-0.004544795,5
46,13,7,0.036378557,6
46,13,7,0.018649194,7
46,13,7,-0.225902801,8
46,13,7,0.091981706,9
46,13,7,-0.242529473,10
46,15,7,-0.000119935,0
46,15,7,0.000845032,1
46,15,7,0.000722754,2
46,15,7,-5.2142e-05,3
46,15,7,-0.000181481,4
46,15,7,-9.2247e-05,5
46,15,7,-0.001358046,6
46,15,7,-0.00038131,7
46,15,7,0.010436109,8
46,15,7,-0.005631012,9
46,15,7,0.002910091,10
46,1,9,5.687e-06,0
46,1,9,-0.003660407,1
46,1,9,-0.001859375,2
46,1,9,-0.000981445,3
46,1,9,-0.000814253,4
46,1,9,-0.001039781,5
46,1,9,0.00581159,6
46,1,9,0.002568871,7
46,1,9,-0.044520546,8
46,1,9,0.003329699,9
46,1,9,-0.140325053,10
46,3,9,1.4769e-05,0
46,3,9,-0.038172152,1
46,3,9,-0.01914676,2
46,3,9,-0.009926723,3
46,3,9,-0.009880279,4
46,3,9,-0.009804498,5
46,3,9,0.05805326,6
46,3,9,0.028917937,7
46,3,9,-0.466457192,8
46,3,9,0.041471661,9
46,3,9,-1.507204338,10
46,5,9,-1.5013e-05,0
46,5,9,-0.003563062,1
46,5,9,-0.001523353,2
46,5,9,0.001026001,3
46,5,9,0.001120709,4
46,5,9,0.001067604,5
46,5,9,0.001240868,6
46,5,9,0.000614492,7
46,5,9,-0.044319951,8
46,5,9,0.004193256,9
46,5,9,-0.021893013,10
46,7,9,6.2578e-05,0
46,7,9,0.012211812,1
46,7,9,0.005603438,2
46,7,9,0.000388411,3
46,7,9,0.000484126,4
46,7,9,0.000526903,5
46,7,9,-0.012525182,6
46,7,9,-0.006496405,7
46,7,9,-0.009661861,8
46,7,9,0.005976014,9
46,7,9,0.317447148,10
46,9,9,1.0,0
46,9,9,0.967289945,1
46,9,9,0.483723805,2
46,9,9,0.301948975,3
46,9,9,0.301920765,4
46,9,9,0.301919526,5
46,9,9,0.86068062,6
46,9,9,0.430367781,7
46,9,9,-0.353148433,8
46,9,9,-0.052683402,9
46,9,9,-0.863558868,10
46,11,9,-2.9e-07,0
46,11,9,0.001713222,1
46,11,9,0.000956319,2
46,11,9,-0.000857315,3
46,11,9,-0.000727931,4
46,11,9,-0.000697446,5
46,11,9,-0.000194641,6
46,11,9,-0.000187511,7
