Iteration,bra-left,bra-right,Element,Operator
51,19,1,0.00247831,3
51,19,1,0.002157508,4
51,19,1,-0.006254374,5
51,19,1,-0.021119138,6
51,19,1,-0.00202252,7
51,19,1,-0.10145138,8
51,19,1,0.205324956,9
51,19,1,-0.272289148,10
51,21,1,-1.3166e-05,0
51,21,1,0.000584682,1
51,21,1,-0.003696617,2
51,21,1,-0.000773782,3
51,21,1,0.000255531,4
51,21,1,0.000432539,5
51,21,1,0.003268582,6
51,21,1,-0.000130936,7
51,21,1,-0.495860231,8
51,21,1,-0.051398684,9
51,21,1,-0.165879169,10
51,23,1,-2.506e-06,0
51,23,1,-0.009517654,1
51,23,1,0.005953284,2
51,23,1,0.003632998,3
51,23,1,0.004521267,4
51,23,1,-0.001531059,5
51,23,1,0.002901765,6
51,23,1,-0.005885967,7
51,23,1,0.087174963,8
51,23,1,0.106958604,9
51,23,1,0.704938825,10
51,25,1,-8.3739e-05,0
51,25,1,0.029937923,1
51,25,1,-0.004236573,2
51,25,1,0.017856406,3
51,25,1,0.029779625,4
51,25,1,0.02205954,5
51,25,1,-0.064205941,6
51,25,1,-0.031288847,7
51,25,1,0.455146931,8
51,25,1,-0.005707618,9
51,25,1,-0.686417359,10
51,27,1,-6.3426e-05,0
51,27,1,-0.021205344,1
51,27,1,0.005075554,2
51,27,1,-0.005755798,3
51,27,1,-0.007251706,4
51,27,1,0.008582606,5
51,27,1,0.03718031,6
51,27,1,-0.016763616,7
51,27,1,0.131504004,8
51,27,1,-0.17130848,9
51,27,1,0.563036509,10
51,29,1,0.000124158,0
51,29,1,-0.010260703,1
51,29,1,-0.007468488,2
51,29,1,0.005642018,3
51,29,1,0.009194991,4
51,29,1,-0.004583941,5
51,29,1,0.005699373,6
51,29,1,0.002236555,7
51,29,1,0.123878992,8
51,29,1,0.33183523,9
51,29,1,0.147204008,10
51,31,1,-6.2979e-05,0
51,31,1,-0.059961209,1
51,31,1,-0.023564208,2
51,31,1,-0.020754917,3
51,31,1,0.011118605,4
51,31,1,-0.019858653,5
51,31,1,0.091069864,6
51,31,1,0.021684296,7
51,31,1,0.139025985,8
51,31,1,0.013710313,9
51,31,1,0.197231306,10
51,33,1,2.9e-07,0
51,33,1,-0.040321212,1
51,33,1,-0.021715301,2
51,33,1,-0.010614081,3
51,33,1,-0.002958972,4
51,33,1,-0.01829917,5
51,33,1,0.060620315,6
51,33,1,0.033240088,7
51,33,1,-0.160364701,8
51,33,1,-0.118372956,9
