Iteration,bra-left,bra-right,Element,Operator
50,2,17,7.187e-06,0
50,2,18,-0.087669894,0
50,2,19,1.0769e-05,0
50,2,20,0.009570117,0
50,2,21,1.054e-06,0
50,2,22,0.161222717,0
50,2,23,-4.0814e-05,0
50,2,24,0.007260034,0
50,2,25,3.142e-06,0
50,2,26,0.00868828,0
50,2,27,-2.0663e-05,0
50,2,28,0.069513483,0
50,2,29,0.000126915,0
50,2,30,-0.215089657,0
50,2,31,0.000128815,0
50,2,32,-0.137117475,0
50,2,33,-2.7964e-05,0
50,2,34,0.031920631,0
50,2,35,-6.3616e-05,0
50,2,36,0.088004053,0
50,2,37,8.434e-05,0
50,2,38,-0.055469041,0
50,2,39,1.6645e-05,0
50,2,40,-0.005893823,0
50,2,41,-0.000166238,0
50,2,42,0.255132258,0
50,2,43,-0.000177217,0
50,2,44,0.165993909,0
50,2,45,5.8157e-05,0
50,2,46,-0.112033534,0
50,2,47,-5.2639e-05,0
50,2,48,-0.008720672,0
50,3,1,-8.29e-07,0
50,3,2,-1.1662e-05,0
50,3,3,1.0,0
50,3,4,-7.7603e-05,0
50,3,5,2.085e-06,0
50,3,6,4.279e-06,0
50,3,7,4.958e-06,0
50,3,8,1.9087e-05,0
50,3,9,-3.288e-06,0
50,3,10,-1.407e-05,0
50,3,11,1.322e-06,0
50,3,12,1.6601e-05,0
50,3,13,-1.758e-06,0
50,3,14,7.79e-07,0
50,3,15,-8.4e-07,0
50,3,16,-1.5915e-05,0
50,3,17,-2.588e-06,0
50,3,18,-2.1054e-05,0
50,3,19,9.99e-07,0
50,3,20,1.4135e-05,0
50,3,21,5.1e-08,0
50,3,22,-1.0992e-05,0
50,3,23,-1.334e-06,0
50,3,24,-4.895e-06,0
50,3,25,2.024e-06,0
50,3,26,5.1284e-05,0
50,3,27,-2.353e-06,0
50,3,28,7.858e-06,0
50,3,29,7.34e-07,0
50,3,30,-3.68e-06,0
50,3,31,-4.1e-08,0
50,3,32,-1.9562e-05,0
50,3,33,3.81e-07,0
50,3,34,-1.4259e-05,0
50,3,35,-2.385e-06,0
50,3,36,3.1886e-05,0
50,3,37,2.532e-06,0
50,3,38,-4.115e-05,0
50,3,39,-1.851e-06,0
50,3,40,2.5799e-05,0
50,3,41,8.157e-06,0
50,3,42,1.6731e-05,0
50,3,43,3.508e-06,0
50,3,44,-8.136e-06,0
50,3,45,6.97e-07,0
50,3,46,-3.2642e-05,0
50,3,47,3.038e-06,0
50,3,48,3.0866e-05,0
50,4,1,-4.805e-06,0
50,4,2,-0.015023814,0
50,4,3,-7.7603e-05,0
50,4,4,1.0,0
50,4,5,-4.959e-06,0
50,4,6,0.084007448,0
50,4,7,-9.517e-06,0
50,4,8,0.079534575,0
50,4,9,3.948e-06,0
50,4,10,-0.089571175,0
50,4,11,5.2132e-05,0
50,4,12,-0.287742778,0
50,4,13,-4.153e-06,0
50,4,14,-0.071007162,0
50,4,15,2.5049e-05,0
50,4,16,0.133381151,0
50,4,17,-2.477e-06,0
50,4,18,-0.068189025,0
50,4,19,-1.82e-07,0
50,4,20,0.043251945,0
50,4,21,1.3601e-05,0
50,4,22,-0.208971384,0
50,4,23,-3.9813e-05,0
50,4,24,0.052461565,0
50,4,25,3.1259e-05,0
50,4,26,-0.040193108,0
50,4,27,1.7212e-05,0
50,4,28,0.208205395,0
50,4,29,4.4327e-05,0
50,4,30,0.067276844,0
50,4,31,9.9347e-05,0
50,4,32,-0.061260007,0
50,4,33,-3.151e-06,0
50,4,34,0.001046078,0
50,4,35,1.1541e-05,0
50,4,36,0.089942427,0
50,4,37,5.9728e-05,0
50,4,38,0.049482806,0
50,4,39,8.065e-06,0
50,4,40,-0.058219606,0
50,4,41,4.7774e-05,0
50,4,42,-0.255349561,0
